,title,store,type,sells,price,skuid
5833,['荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810 全网通版6GB+128GB 蝶羽白'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,198686,1799.0,100007204163.0
3630,['【新品抢购】Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人'],['小米京东自营旗舰店'],4GB+64GB,196493,749.0,100007767689.67
3863,['【超级爆品】一加 OnePlus 7  骁龙855旗舰性能 4800万超清双摄 8GB+256GB 曜岩灰 全面屏拍照智能游戏'],['一加手机京东自营官方旗舰店'],8GB 256GB,188660,3073.5,100004646133.0
5849,['荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,188290,1299.0,100005765570.67
5799,['荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,185920,1074.0,100002018732.25
5417,['小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+64GB,185806,1032.33,66672635376.33
63,['Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,183051,6009.44,100006639479.39
5935,['荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 64GB）,163579,1265.67,100000727728.0
6022,['荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],6GB 64GB,163461,1599.0,8285654.5
5933,['荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,156978,1349.0,100000065806.5
658,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],8GB+128GB,153664,2499.0,100004859791.0
4113,['华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G'],['华为京东自营官方旗舰店'],6GB+64GB,152725,3299.0,100000986057.5
701,['realme 真我X 4800万双摄 升降摄像头 高通骁龙710 屏下指纹 全网通8GB+128GB 朋克蓝 游戏智能'],['realme真我京东自营旗舰店'],8GB+128GB,152562,1549.0,100004077629.75
5939,['荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 6GB+64GB 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,152326,1619.0,100000701961.6
105,['Apple iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,151085,6816.0,100002731700.17
771,['vivo Z5x 6GB+128GB 极光色 极点屏'],['vivo京东自营官方旗舰店'],6GB+64GB,149882,1298.0,100005162695.0
4114,['华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB亮黑色5G全网通游戏'],['华为京东自营官方旗舰店'],5G SA/NSA 双模,147487,5249.0,100007514155.25
5428,['小米MIX2S 骁龙845 AI感光双摄    四曲面陶瓷全面屏 白色 多功能 NFC 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,147035,1799.0,6842633.5
656,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],6GB+128GB,138668,2199.0,100004859679.0
4135,['华为 HUAWEI nova 3i 全面屏高清四摄游戏'],['华为京东自营官方旗舰店'],6GB+128GB,135399,1699.0,100000322918.0
4156,['华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB天空之境全网通双4G'],['华为京东自营官方旗舰店'],标准版,135232,1771.73,100007348436.45
643,['Redmi 7 4000mAh超长续航 骁龙632 1200万AI双摄 18个月超长质保 AI人脸解锁 4GB+64GB 亮黑色 游戏智能'],['小米京东自营旗舰店'],4GB+64GB,134727,799.0,100003672460.33
539,['OPPO K3 高通骁龙710 升降摄像头 VOOC闪充 6GB+64GB 星云紫 全网通4G 全面屏拍照游戏智能'],['OPPO京东自营官方旗舰店'],6GB+64GB,131067,1623.22,100006038894.09
6018,['荣耀Magic2魔法'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,127241,1765.67,100001364190.67
4160,['华为 HUAWEI 畅享9 Plus 4GB+64GB 宝石蓝 全网通 四摄超清全面屏大电池 移动联通电信4G'],['华为京东自营官方旗舰店'],4GB+128GB,125787,1499.0,100000833614.5
5431,['小米Max3 5500mAh充电宝级电量 AI双摄 全金属机身 骁龙八核处理器 黑色 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,124770,1299.0,8635791.67
89,['Apple iPhone 8 (A1863) 64GB 深空灰色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,122765,5145.0,33339242101.33
6043,['荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通4GB+64GB 极光蓝'],['荣耀京东自营旗舰店'],全网通（4GB 64GB）,121936,899.0,100007604958.25
3514,['【千玺代言】华为新品 HUAWEI nova 4 极点全面屏'],['华为京东自营官方旗舰店'],8GB+128GB 4800万,115953,2799.0,100002004930.0
645,['Redmi 7A 4000mAh超长续航 AI人脸解锁 骁龙8核  标配10W充电器 整机防泼溅 3GB+32GB 磨砂黑 游戏智能'],['小米京东自营旗舰店'],3GB+32GB,110238,599.0,100005677202.33
73,['Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,110040,11521.67,100007553880.25
787,['vivo iQOO 6GB+128GB 熔岩橙  高通骁龙855'],['vivo京东自营官方旗舰店'],8GB+128GB,107357,2298.0,100004451499.0
4126,['华为 HUAWEI Mate 30 麒麟990旗舰芯片4000万超感光徕卡影像屏内指纹8G+128GB亮黑色4G全网通版游戏'],['华为京东自营官方旗舰店'],8GB+128GB,105554,4299.0,100008033493.14
5112,['天语（K-TOUCH） Q31 三防老人'],['天语手机京东自营官方旗舰店'],移动联通版,104357,128.0,6380436.0
519,['OPPO A5 全面屏拍照'],['OPPO京东自营官方旗舰店'],4GB+64GB,102695,1199.0,8154959.5
4142,['华为 HUAWEI nova 5i 后置AI四摄 极点全面屏 前置2400万高清摄像头 8GB+128GB 幻夜黑 全网通双卡双待'],['华为京东自营官方旗舰店'],8GB+128GB,102263,2199.0,100004774501.25
5331,['小米9 骁龙855 索尼4800万超广角微距三摄 支持20W无线闪充 8GB+256GB 全息幻彩蓝 智能拍照游戏'],['小米京东自营旗舰店'],6GB+128GB,100255,2299.0,50005435987.0
67,['Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,99478,10621.67,100006637790.5
5333,['小米9 骁龙855 索尼4800万超广角微距三摄 支持20W无线闪充 8GB+256GB 全息幻彩蓝 智能拍照游戏'],['小米京东自营旗舰店'],8GB+256GB,98008,2724.0,100004688098.25
3633,['【新品抢购】Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 皓月白 游戏智能'],['小米京东自营旗舰店'],6GB+64GB,93032,1099.0,100007445308.25
5964,['荣耀9X 麒麟810 4000mAh续航 4800万超清夜拍 6.59英寸升降全面屏 全网通6GB+64GB 魅海蓝'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,91734,1949.0,100007283937.0
762,['vivo Z5 6GB+256GB 极光幻境 4800万超广角AI三摄'],['vivo京东自营官方旗舰店'],6GB+256GB,90891,1648.0,100006131703.0
540,['OPPO K3 高通骁龙710 升降摄像头 VOOC闪充 6GB+64GB 星云紫 全网通4G 全面屏拍照游戏智能'],['OPPO京东自营官方旗舰店'],8GB+128GB,90030,1886.27,100005919203.09
795,['vivo iQOO Neo 855版 6GB+128GB 冰岛极光 骁龙855处理器 33W超快闪充 4500mAh大电池游戏'],['vivo京东自营官方旗舰店'],官方标配,89737,2143.45,100007944994.18
646,['Redmi K20 索尼4800万超广角三摄 AMOLED弹出式全面屏 第七代屏下指纹 6GB+128GB 碳纤黑 游戏'],['小米京东自营旗舰店'],6GB+128GB,87902,1699.0,66672404716.67
4121,['华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB亮黑色4G全网通游戏'],['华为京东自营官方旗舰店'],8GB+128GB,86422,5799.0,100005753907.14
4138,['华为 HUAWEI nova 5i Pro 前置3200万人像超级夜景4800万AI四摄极点全面屏6GB+128GB翡冷翠全网通双4G'],['华为京东自营官方旗舰店'],6GB+128GB,81003,2199.0,100006017759.0
5430,['小米Max3 5500mAh充电宝级电量 AI双摄 全金属机身 骁龙八核处理器 黑色 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],4GB+64GB,80081,999.0,7948658.5
6019,['荣耀Magic2魔法'],['荣耀京东自营旗舰店'],全网通（8GB 128GB）,79334,1799.0,100001233628.67
6204,['魅族 X8 准旗舰游戏拍照'],['魅族京东自营旗舰店'],4GB+64GB,78288,799.0,100000882754.0
4153,['华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB幻夜黑全网通版双4G'],['华为京东自营官方旗舰店'],3GB+32GB,78268,899.0,100005886334.5
5798,['荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（6GB 128GB）,76562,1765.67,100001897988.33
761,['vivo Z5 6GB+256GB 极光幻境 4800万超广角AI三摄'],['vivo京东自营官方旗舰店'],6GB+128GB,71860,1598.0,100006978197.4
6264,['黑鲨游戏'],['黑鲨京东自营官方旗舰店'],8GB+128GB,71840,2703.0,80004031658.2
700,['realme 真我X 4800万双摄 升降摄像头 高通骁龙710 屏下指纹 全网通8GB+128GB 朋克蓝 游戏智能'],['realme真我京东自营旗舰店'],6GB+64GB,71201,1199.0,100004002348.0
3873,['【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版'],['华为京东自营官方旗舰店'],8GB+256GB,69361,4488.0,100003600432.5
4162,['华为 HUAWEI 畅享9 Plus 4GB+64GB 宝石蓝 全网通 四摄超清全面屏大电池 移动联通电信4G'],['华为京东自营官方旗舰店'],6GB+128GB,67799,1799.0,100000826913.5
5347,['小米9SE 骁龙712 索尼4800万超广角三摄 5.97英寸舒适握感 全息幻彩蓝 8GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,67600,1599.0,100003438284.0
3871,['【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版'],['华为京东自营官方旗舰店'],6GB+128GB,66445,3688.0,100006001443.8
816,['vivo iQOO Pro 5G 12GB+128GB 竞速黑 高通骁龙855Plus'],['vivo京东自营官方旗舰店'],12GB+128GB,65689,3689.67,100006235110.83
6200,['魅族 16th Plus 全面屏游戏'],['魅族京东自营旗舰店'],16th（6GB+64GB）,62353,1598.0,33339173480.33
4137,['华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB亮黑色全网通双4G'],['华为京东自营官方旗舰店'],8GB+256GB,60692,3465.67,100005233963.17
3994,['三星 Galaxy A60 全面屏 拍照'],['三星手机京东自营官方旗舰店'],6GB+64GB,60359,1499.0,100005093767.0
648,['Redmi K20Pro 尊享版 骁龙855Plus 索尼4800万超广角三摄  AMOLED弹出式全面屏 12GB+512GB 水之蜜语 游戏智能'],['小米京东自营旗舰店'],12GB+512GB,59394,2799.0,100008464068.5
5425,['小米CC9美图定制版 索尼4800万AI三摄 3200万美颜自拍 全身美型 多功能NFC 8GB+256GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,58441,1699.0,66671799803.67
3864,['【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏'],['一加手机京东自营官方旗舰店'],12GB 256GB,57876,4648.5,100005621255.0
5848,['荣耀20i 3200万AI自拍 超广角三摄 全网通版6GB+128GB 渐变蓝 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],全网通（4GB 128GB）,57064,1299.0,100004934272.67
763,['vivo Z5 6GB+256GB 极光幻境 4800万超广角AI三摄'],['vivo京东自营官方旗舰店'],6GB+64GB,57057,1398.0,100007605513.5
95,['Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,57038,6481.67,100002300285.72
4122,['华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄8GB+128GB亮黑色4G全网通游戏'],['华为京东自营官方旗舰店'],8GB+256GB,56957,6299.0,100006532739.12
732,['vivo U3x 4GB+64GB 深湖蓝 5000mAh大电池 18W双引擎闪充 超广角AI三摄 骁龙665处理器 全网通4G'],['vivo京东自营官方旗舰店'],4GB+64GB,56314,999.0,100005991597.33
5601,['小米（MI） 红米7A 智能老人'],['佳沪手机旗舰店'],全网通 3G+32G,55136,529.0,29203892914.33
4005,['三星 Galaxy S10 骁龙855 4G'],['三星手机京东自营官方旗舰店'],8GB+128GB,54888,5999.0,100004075905.4
3988,['一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄\xa0 8GB+256GB 冰际蓝 游戏'],['一加手机京东自营官方旗舰店'],8GB 256GB,54789,3379.0,100007628746.73
62,['Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G'],['Apple产品京东自营旗舰店'],256GB,54720,7281.67,100007044129.61
4154,['华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB幻夜黑全网通版双4G'],['华为京东自营官方旗舰店'],3GB+64GB,54318,1124.0,100004324150.5
4960,['华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人老年'],['众盛手机专营店'],全网通(2G RAM+16G ROM),52908,452.33,28331229416.0
657,['Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+256GB 冰川蓝 游戏'],['小米京东自营旗舰店'],6GB+64GB,52586,1999.0,100005180693.0
69,['Apple iPhone 11 Pro (A2217) 256GB 暗夜绿色 移动联通电信4G'],['Apple产品京东自营旗舰店'],64GB,52035,9321.67,100007547707.75
518,['OPPO A5 全面屏拍照'],['OPPO京东自营官方旗舰店'],3GB+64GB,51825,899.0,100004335292.67
5111,['天语（K-TOUCH） Q31 三防老人'],['天语手机京东自营官方旗舰店'],电信版,50578,158.0,6274981.0
5348,['小米9SE 骁龙712 索尼4800万超广角三摄 5.97英寸舒适握感 全息幻彩蓝 8GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+64GB,50331,1399.0,50005437984.0
554,['OPPO K5 6GB+128GB 奇幻森林 6400万超清四摄 VOOC闪充4.0 高通骁龙730G 4G游戏智能'],['OPPO京东自营官方旗舰店'],6GB+128GB,49892,1977.43,100008630871.86
5994,['荣耀9i'],['疆界互联旗舰店'],全网通4+128G,49830,1149.0,28489311587.33
3874,['【超级爆款】华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版'],['华为京东自营官方旗舰店'],8GB+64GB,49519,3688.0,100004404938.0
3853,['【至高优惠50】vivo Z3 水滴全面屏 高通骁龙处理器 双摄拍照 4G全网通'],['vivo官方旗舰店'],6GB  64GB,48519,1098.0,34250730126.0
4068,['努比亚 nubia 红魔3游戏'],['努比亚京东自营旗舰店'],8GB+128GB,48465,2512.0,100005718531.17
573,['OPPO Reno 4800万超清像素 NFC 超清夜景 8GB+256GB 星云紫 全网通 双卡双待'],['OPPO京东自营官方旗舰店'],6GB+128GB,48064,2175.67,100005063465.17
3632,['【新品抢购】Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+64GB 皓月白 游戏智能'],['小米京东自营旗舰店'],6GB+128GB,47737,1299.0,100007958744.67
6023,['荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏'],['荣耀京东自营旗舰店'],8GB 128GB,47036,1799.0,8614322.0
739,['vivo X27 8GB+128GB大内存 雀羽蓝 零界全面屏AI三摄 移动联通电信全网通4G'],['vivo京东自营官方旗舰店'],8GB+128GB,47013,2498.0,100003684356.67
772,['vivo Z5x 6GB+128GB 极光色 极点屏'],['vivo京东自营官方旗舰店'],8GB+128GB,46611,1664.67,100005639642.33
817,['vivo iQOO Pro 5G 12GB+128GB 竞速黑 高通骁龙855Plus'],['vivo京东自营官方旗舰店'],8GB+128GB,45929,3348.0,100007656396.0
6198,['魅族 16th Plus 全面屏游戏'],['魅族京东自营旗舰店'],16 Plus（8GB+128GB）,45175,1898.0,8547830.5
644,['Redmi 7A 4000mAh超长续航 AI人脸解锁 骁龙8核  标配10W充电器 整机防泼溅 3GB+32GB 磨砂黑 游戏智能'],['小米京东自营旗舰店'],2GB+32GB,45060,539.0,100006229769.33
4141,['华为 HUAWEI nova 5i 后置AI四摄 极点全面屏 前置2400万高清摄像头 8GB+128GB 幻夜黑 全网通双卡双待'],['华为京东自营官方旗舰店'],6GB+128GB,44794,1999.0,100005421591.0
5349,['小米9SE 骁龙712 索尼4800万超广角三摄 5.97英寸舒适握感 全息幻彩蓝 8GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],8GB+128GB,44347,1799.0,100005181992.33
637,['ROG游戏'],['ROG京东自营官方旗舰店'],8GB+128GB,44140,3754.6,100007233584.4
4010,['三星 Galaxy S10+ 骁龙855 4G'],['三星手机京东自营官方旗舰店'],8GB+128GB,44132,6999.0,100003799653.0
4134,['华为 HUAWEI nova 3i 全面屏高清四摄游戏'],['华为京东自营官方旗舰店'],4GB+128GB,43144,1399.0,100000353614.5
3997,['三星 Galaxy A8s 全面屏'],['三星手机京东自营官方旗舰店'],6GB+128GB,43015,2399.0,100002664916.5
577,['OPPO Reno Ace 8GB+128GB 星际蓝 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏'],['OPPO京东自营官方旗舰店'],8GB+128GB,42526,3227.0,100007813602.18
712,['realme 真我X青春版 2500万前置镜头 高通骁龙710 水滴全面屏 4045mAh大电池 氮气蓝 全网通6GB+64GB 游戏智能'],['realme真我京东自营旗舰店'],6GB+64GB,41477,1199.0,100005297811.0
650,['Redmi K20Pro 尊享版 骁龙855Plus 索尼4800万超广角三摄  AMOLED弹出式全面屏 12GB+512GB 水之蜜语 游戏智能'],['小米京东自营旗舰店'],8GB+512GB,41311,2999.0,100007566714.75
578,['OPPO Reno Ace 8GB+128GB 星际蓝 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 4G智能游戏'],['OPPO京东自营官方旗舰店'],8GB+256GB,41239,3359.0,100008366194.44
5416,['小米CC9e 索尼4800万旗舰相机 3200万美颜自拍 4030mAh 屏幕指纹 白色恋人 6GB+64GB 游戏智能拍照'],['小米京东自营旗舰店'],6GB+128GB,40783,1299.0,100004784393.33
4125,['华为 HUAWEI Mate 30 麒麟990旗舰芯片4000万超感光徕卡影像屏内指纹8G+128GB亮黑色4G全网通版游戏'],['华为京东自营官方旗舰店'],6GB+128GB,39623,3999.0,100008176781.25
3513,['【千玺代言】华为新品 HUAWEI nova 4 极点全面屏'],['华为京东自营官方旗舰店'],8GB+128GB 2000万,38497,2699.0,100002433213.33
517,['OPPO A5 全面屏拍照'],['OPPO京东自营官方旗舰店'],3GB+32GB,38463,674.0,100002598703.0
5429,['小米MIX2S 骁龙845 AI感光双摄    四曲面陶瓷全面屏 白色 多功能 NFC 6GB+128GB 游戏智能拍照'],['小米京东自营旗舰店'],8GB+256GB,38226,2099.0,6735798.0
6191,['飞利浦（PHILIPS） E517 陨石黑 智能老人'],['飞利浦手机京东自营旗舰店'],E152Y,38125,179.0,7280687.33
6183,['锤子（smartisan） 坚果 R1 6G+128GB 碳黑色 全面屏双摄  全网通4G'],['坚果手机京东自营旗舰店'],6+128G,38057,1999.0,7293054.0
3865,['【超级爆品】一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 星雾蓝 全面屏拍照游戏'],['一加手机京东自营官方旗舰店'],6GB 128GB,37997,3999.0,100004483205.5
135,['Apple 苹果  iPhone8 Plus '],['佳沪手机旗舰店'],全网通 64GB,36590,4160.5,17966046568.25
696,['realme 真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 全网通6GB+64GB 幻境白特别版 游戏智能'],['realme真我京东自营旗舰店'],4GB+64GB,36572,1031.33,100004811609.0
555,['OPPO K5 6GB+128GB 奇幻森林 6400万超清四摄 VOOC闪充4.0 高通骁龙730G 4G游戏智能'],['OPPO京东自营官方旗舰店'],8GB+128GB,36488,2104.0,100007360988.08
